"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00345775","2022","90","32",,"63.0"
"USW00094822","2014",,,"33.53","46.1"
"USW00094822","2015",,,"40.07","49.8"
"USW00094822","2016",,,"35.20","51.9"
"USW00094822","2017",,,"44.71","51.2"
"USW00094822","2018",,,"49.63","48.7"
"USW00094822","2019",,,"49.45","48.7"
"USW00094822","2020",,,"34.63","51.4"
"USW00094822","2021",,,"24.22","52.0"
"USW00094822","2022",,,"39.51","49.2"
"USC00032355","2014",,,"60.30","63.5"
"USC00032355","2015",,,"65.66","66.1"
"USC00032355","2016",,,"70.92","66.8"
"USC00032355","2017",,,"60.92","65.5"
"USC00032355","2018",,,,
"USC00032355","2020",,,"77.32",
"USC00032355","2021",,,"54.54",
"USC00356540","2014",,,,
"USC00356540","2015",,,,
"USC00356540","2016",,,"19.44","51.7"
"USC00356540","2017",,,"19.64","49.6"
"USC00356540","2018",,,"15.82","51.0"
"USC00356540","2019",,,"16.22","48.5"
"USC00356540","2020",,,"18.39","50.9"
"USC00356540","2021",,,,
"USC00356540","2022",,,,
"USC00251684","2014",,,"27.21","50.3"
"USC00251684","2015",,,"31.34","53.2"
"USC00251684","2016",,,"24.59","54.0"
"USC00251684","2017",,,"28.52","53.1"
"USC00251684","2018",,,"36.63","50.3"
"USC00251684","2019",,,"36.98","49.9"
"USC00251684","2020",,,"18.60","52.2"
"USC00251684","2021",,,"27.65","52.5"
"USC00251684","2022",,,"22.46","50.8"
"USC00342948","2014","84","29",,"58.9"
"USC00342948","2015","81","31",,"59.6"
"USC00342948","2016","85","25",,
"USC00342948","2017",,,"29.54","60.4"
"USC00342948","2018","85","25",,"60.1"
"USC00342948","2019","84","32",,"59.1"
"USC00342948","2020","86","32",,"60.5"
"USC00342948","2021","83","23",,"60.1"
"USC00342948","2022","88","28",,"60.7"
"USC00164030","2014",,,,
"USC00035186","2014","82","18","44.86","57.3"
"USC00035186","2015","84","40","74.68","59.6"
"USC00035186","2016","82","39","44.28","61.8"
"USC00035186","2017",,,"45.06","61.6"
"USC00035186","2018",,,"60.44","60.1"
"USC00035186","2019","73","25","69.72","60.0"
"USC00035186","2020","72","27","62.32","59.6"
"USC00035186","2021",,,"50.69","59.6"
"USC00035186","2022",,,"49.69","59.5"
"USC00483855","2014",,,"20.80","45.9"
"USC00483855","2015",,,"18.79","48.6"
"USC00483855","2016",,,"14.06","49.2"
"USC00483855","2017",,,"15.14","49.3"
"USC00483855","2018",,,"18.49","46.8"
"USC00483855","2019",,,"21.91","44.2"
"USC00483855","2020",,,"12.81","48.0"
"USC00483855","2021",,,"10.85","48.6"
"USC00483855","2022",,,"15.85","46.7"
"USC00346756","2014",,,,
"USC00346756","2015","85","27","38.87",
"USC00346756","2016","85","26",,
"USC00346756","2017","85","28","41.88","60.7"
"USC00346756","2018","85","25","38.91","58.8"
"USC00346756","2019","84","27",,"58.8"
"USC00346756","2020","83","33",,"59.4"
"USC00346756","2021",,,,"59.4"
"USC00346756","2022","87","27",,"59.3"
"USC00255362","2014",,,"34.46","48.5"
"USC00255362","2015",,,"42.27","51.1"
"USC00255362","2016",,,"35.71","52.4"
"USC00255362","2017",,,"34.20","51.7"
"USC00255362","2018",,,"34.19","48.6"
"USC00255362","2019",,,"33.28","48.2"
"USC00255362","2020",,,"16.82","50.7"
"USC00255362","2021",,,"34.15","51.3"
"USC00255362","2022",,,"17.80","49.6"
"USC00343363","2014","82","31",,"58.0"
"USC00343363","2015","84","28",,"59.8"
"USC00343363","2016",,,"24.50","60.8"
"USC00343363","2017","85","28","27.05","59.8"
"USC00343363","2018","82","27",,"58.8"
"USC00343363","2019","84","30",,"57.7"
"USC00343363","2020","84","33",,"58.7"
"USC00343363","2021","82","26",,"59.5"
"USC00343363","2022","86","21","16.43","59.6"
"USC00221707","2014",,,"63.33","60.2"
"USC00221707","2015",,,,
"USC00221707","2016",,,,
"USC00221707","2017",,,,
"USC00221707","2018",,,,
"USC00221707","2019",,,,"62.9"
"USC00221707","2020",,,,
"USC00221707","2022",,,,
"USC00386299","2018","86","30","67.64","64.5"
"USC00386299","2019","80","29","58.25","66.7"
"USC00386299","2020","85","30","74.59","67.0"
"USC00349346","2014","85","31",,"60.0"
"USC00349346","2015","84","32","62.45","61.3"
"USC00349346","2016","87","32","36.40",
"USC00349346","2017","86","34","39.10","62.3"
"USC00349346","2018",,,"48.22","60.9"
"USC00349346","2019",,,"40.61","60.7"
"USC00349346","2020","85","35","44.41","61.5"
"USC00349346","2021","84","30",,"61.5"
"USC00349346","2022","88","28",,"61.5"
"USC00348499","2014","83","32",,"58.8"
"USC00348499","2015","86","31",,"60.7"
"USC00348499","2016","87","30","30.89","62.2"
"USC00348499","2017","85","32","43.18","61.7"
"USC00348499","2018","85","30","36.46","59.7"
"USC00348499","2019",,,"54.85","59.7"
"USC00348499","2020","82","34",,"60.3"
"USC00348499","2021",,,,"60.5"
"USC00348499","2022",,,,"60.5"
"USC00341743","2014","84","30",,"58.7"
"USC00341743","2015","83","32",,"59.7"
"USC00341743","2016","85","30",,"61.4"
"USC00341743","2017","85","30",,"60.7"
"USC00341743","2018","87","27","25.18","60.0"
"USC00341743","2019","84","31","30.99","58.8"
"USC00341743","2020","85","33",,"60.7"
